QRX1656346	P3640	"00078065935"
QRX1656351	P3640	"00078077735"
QRX1656351	P3640	"00078077767"
QRX1656351	P3640	"00078077720"
QRX1656356	P3640	"00078069667"
QRX1656356	P3640	"00078069635"
QRX1656356	P3640	"00078069667"
QRX1656346	P3640	"00078065967"
QRX1656351	P3640	"00078077761"
QRX1656346	P3640	"00078065920"
QRX1656351	P3640	"00078077735"
QRX1656356	P3640	"00078069635"
QRX1656340	P3640	"000078065961"
QRX1656346	P3640	"00078065935"
QRX1656340	P3640	"000078065920"
QRX1656340	P3640	"000078065967"
QRX1656354	P3640	"000078069661"
QRX1656346	P3640	"00078065967"
QRX1656349	P3640	"000078077735"
QRX1656354	P3640	"000078069635"
QRX1656356	P3640	"00078069620"
QRX1656356	P3640	"00078069620"
QRX1656351	P3640	"00078077720"
QRX1656340	P3640	"000078065935"
QRX1656354	P3640	"000078069620"
QRX1656356	P3640	"00078069661"
QRX1656346	P3640	"00078065920"
QRX1656349	P3640	"000078077761"
QRX1151131	P2892	"C3205666"
QRX1151133	P2892	"C0994475"
QRX1656354	P2892	"C4032802"
QRX1656340	P2892	"C4032804"
QRX1656345	P2892	"C4033917"
QRX1656343	P2892	"C4033875"
QRX1656334	P2892	"C4034065"
QRX1656340	P2892	"C4032804"
QRX1656350	P2892	"C4033771"
QRX1656348	P2892	"C4034062"
QRX1656346	P2892	"C4032761"
QRX1656349	P2892	"C4032803"
QRX1656351	P2892	"C4032760"
QRX1656346	P2892	"C4032761"
QRX1656346	P2892	"C4032761"
QRX1656349	P2892	"C4032803"
QRX1656356	P2892	"C4032759"
QRX1656356	P2892	"C4032759"
QRX1656351	P2892	"C4032760"
QRX1656338	P2892	"C4034138"
QRX1656342	P2892	"C4033772"
QRX1656353	P2892	"C4034060"
QRX1656351	P2892	"C4032760"
QRX1656346	P2892	"C4032761"
QRX1656347	P2892	"C4034063"
QRX1656356	P2892	"C4032759"
QRX1656351	P2892	"C4032760"
QRX1656354	P2892	"C4032802"
QRX1656344	P2892	"C4033918"
QRX1656335	P2892	"C4034064"
QRX1656356	P2892	"C4032759"
QRX1656336	P2892	"C4034158"
QRX1656352	P2892	"C4034061"
QRX1656355	P2892	"C4033770"
QRX1656337	P2892	"C4034157"
QRX317541	P2892	"C0993159"
QRX1656354	P2892	"C4032802"
QRX1656340	P2892	"C4032804"
QRX1656354	P2892	"C4032802"
QRX1656349	P2892	"C4032803"
QRX1656340	P2892	"C4032804"
QRX1656354	P2892	"C4032802"
QRX1656340	P2892	"C4032804"
QRX1656356	P2892	"C4032759"
QRX1656351	P2892	"C4032760"
QRX1656340	P2892	"C4032804"
QRX1656349	P2892	"C4032803"
QRX1656351	P2892	"C4032760"
QRX1656340	P2892	"C4032804"
QRX1656346	P2892	"C4032761"
QRX1656346	P2892	"C4032761"
QRX1656354	P2892	"C4032802"
QRX1656349	P2892	"C4032803"
QRX1656354	P2892	"C4032802"
QRX1656340	P2892	"C4032804"
QRX1656336	P2892	"C4034158"
QRX1656349	P2892	"C4032803"
QRX1656349	P2892	"C4032803"
QRX1656354	P2892	"C4032802"
QRX1656354	P2892	"C4032802"
QRX1656354	P2892	"C4032802"
QRX1656349	P2892	"C4032803"
QRX1656349	P2892	"C4032803"
QRX1656340	P2892	"C4032804"
QRX1656356	P2892	"C4032759"
QRX1656336	P2892	"C4034158"
QRX1656346	P2892	"C4032761"
QRX1656349	P2892	"C4032803"
QRX1656354	P2892	"C4032802"
QRX1151133	P2892	"C0994475"
QRX1656356	P2892	"C4032759"
QRX1656351	P2892	"C4032760"
QRX1656349	P2892	"C4032803"
